Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Trinidad and Tobago,TTO,35.6,26.4,28.3,30.2,29.9,30.9,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Tunisia,TUN,2.7,..,3,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Turkey,TUR,4.2,4.2,4.3,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Turkmenistan,TKM,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Turks and Caicos Islands,TCA,..,..,..,12.1,5.9,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Tuvalu,TUV,9.5,9.4,18.6,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Uganda,UGA,9.3,10.7,11.2,10.3,11.5,..,10.8,11,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Ukraine,UKR,4.3,..,5.2,..,6.3,..,..,6.2,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,United Arab Emirates,ARE,0.8,0.6,0.8,0.6,0.7,0.7,0.7,0.5,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,United Kingdom,GBR,1.2,1,1,0.9,0.9,1,1.2,1.2,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,United States,USA,4.8,4.7,4.7,4.5,4.5,5,5.4,5.3,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Uruguay,URY,6.1,5.9,7.9,7.6,7.8,8.5,7.8,8.2,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Uzbekistan,UZB,..,..,..,..,1.5,1.6,1.4,1.1,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Vanuatu,VUT,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,"Venezuela, RB",VEN,45.1,47.8,53.8,..,61.9,..,56.3,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Vietnam,VNM,1.5,1.5,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Virgin Islands (U.S.),VIR,52.8,42.5,49.3,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,West Bank and Gaza,PSE,0.8,0.6,0.6,0.5,0.8,1,0.7,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,"Yemen, Rep.",YEM,4.7,5.7,6.5,6.7,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Zambia,ZMB,5.9,6,6,5.7,5.3,5.3,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Zimbabwe,ZWE,5,..,6.7,..,..,..,..,..,..
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,
Last Updated: 10/28/2019,,,,,,,,,,,,
